TransactionID,Date,Description,Debit,Credit,Amount,Currency,ReferenceID,Counterparty,Account
US-TX-1001,2026-08-05,Customer payment invoice #101,2324.67,,2324.67,USD,REF-EXT-2001,Customer B,Accounts Receivable
US-TX-1002,2026-08-23,Catering,,1995.52,-1995.52,USD,REF-EXT-2002,Vendor Z,IT Expense
US-TX-1003,2026-08-18,Office Rent,,650.49,-650.49,USD,REF-EXT-2003,Vendor X,IT Expense
US-TX-1004,2026-08-22,Customer payment invoice #104,4668.16,,4668.16,USD,REF-EXT-2004,Customer E,Accounts Receivable
US-TX-1005,2026-08-11,Customer payment invoice #105,1187.04,,1187.04,USD,REF-EXT-2005,Customer F,Accounts Receivable
US-TX-1006,2026-08-31,Customer payment invoice #106,933.38,,933.38,USD,REF-EXT-2006,Customer G,Accounts Receivable
US-TX-1007,2026-08-29,Office Supplies,,1767.67,-1767.67,USD,REF-EXT-2007,Vendor Y,Meals & Entertainment
US-TX-1008,2026-08-31,Catering,,2332.49,-2332.49,USD,REF-EXT-2008,Vendor Z,Office Expense
US-TX-1009,2026-08-28,Customer payment invoice #109,3260.29,,3260.29,USD,REF-EXT-2009,Customer J,Accounts Receivable
US-TX-1010,2026-08-06,Office Supplies,,77.94,-77.94,USD,REF-EXT-2010,Vendor Y,Office Expense
US-TX-1011,2026-08-07,Customer payment invoice #111,876.72,,876.72,USD,REF-EXT-2011,Customer B,Accounts Receivable
US-TX-1012,2026-08-30,Catering,,3345.24,-3345.24,USD,REF-EXT-2012,Vendor X,Office Expense
US-TX-1013,2026-08-20,Customer payment invoice #113,2792.06,,2792.06,USD,REF-EXT-2013,Customer D,Accounts Receivable
US-TX-1014,2026-08-20,Software Subscription,,1273.1,-1273.1,USD,REF-EXT-2014,Vendor Z,Rent Expense
US-TX-1015,2026-08-17,Catering,,3424.97,-3424.97,USD,REF-EXT-2015,Vendor X,Meals & Entertainment
US-TX-1016,2026-08-25,Customer payment invoice #116,356.62,,356.62,USD,REF-EXT-2016,Customer G,Accounts Receivable
US-TX-1017,2026-08-29,Office Rent,,1534.5,-1534.5,USD,REF-EXT-2017,Vendor Z,Office Expense
US-TX-1018,2026-08-28,Software Subscription,,4128.77,-4128.77,USD,REF-EXT-2018,Vendor X,Meals & Entertainment
US-TX-1019,2026-08-29,Customer payment invoice #119,2934.29,,2934.29,USD,REF-EXT-2019,Customer J,Accounts Receivable
US-TX-1020,2026-08-02,Office Supplies,,3396.08,-3396.08,USD,REF-EXT-2020,Vendor Z,IT Expense
US-TX-1021,2026-08-25,Customer payment invoice #121,1412.0,,1412.0,USD,REF-EXT-2021,Customer B,Accounts Receivable
US-TX-1022,2026-08-23,Customer payment invoice #122,301.07,,301.07,USD,REF-EXT-2022,Customer C,Accounts Receivable
US-TX-1023,2026-08-29,Customer payment invoice #123,1583.8,,1583.8,USD,REF-EXT-2023,Customer D,Accounts Receivable
US-TX-1024,2026-08-21,Office Rent,,4031.25,-4031.25,USD,REF-EXT-2024,Vendor X,Meals & Entertainment
US-TX-1025,2026-08-01,Office Supplies,,3463.34,-3463.34,USD,REF-EXT-2025,Vendor Y,IT Expense
US-TX-5001,2026-08-01,Intercompany Loan to UK Ltd,,100000.0,-100000.0,USD,REF-L001,UK Ltd,Due from UK Ltd
US-TX-5002,2026-08-15,Engineering Service Fee from UK Ltd,19029.0,,19029.0,USD,REF-INV-202,UK Ltd,Due to UK Ltd
US-TX-5003,2026-08-18,Intercompany travel reimbursement,,5000.0,-5000.0,USD,REF-T890,UK Ltd,Due from UK Ltd
US-TX-5004,2026-08-20,Intercompany cash transfer,,10000.0,-10000.0,USD,REF-P441,UK Ltd,Due from UK Ltd
US-TX-5005,2026-08-31,Month-end capital injection to UK,,25000.0,-25000.0,USD,REF-E311,UK Ltd,Due from UK Ltd
US-TX-5006,2026-08-22,Consulting Fee to UK Ltd,15236.4,,15236.4,USD,REF-C222,UK Ltd,Due to UK Ltd
US-TX-5007,2026-08-10,Paid Software Corp sub on behalf of UK Ltd,,6370.0,-6370.0,USD,REF-S101,UK Ltd,Due from UK Ltd
US-TX-5008,2026-08-28,Marketing Services Fee,8000.0,,8000.0,USD,REF-INV-205,UK Ltd,Due to UK Ltd
US-TX-5009,2026-08-12,Reimburse UK entity for legal costs,,5344.08,-5344.08,USD,,UK Ltd,Due from UK Ltd
